web-scraper-order,title_raw,price_raw,mileage_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,seller_raw,selleraddress_raw,model,price,mileage,fuel_consumption,ps,sportcar,mileage_cat,ps_cat,ps_cat2,fuel_consumption_cat,price_cat
1734007358-194,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 23'200.–,95'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.6 l/100 km,Beat L.,8802 Kilchberg,Avant 2.0 TDI Sport quattro S-tronic,23200,95000,4.6,190,1,50000 - 990000,150-199,medium,4.00-4.99,20000-29999
1734007360-195,AUDI A4 2.0 TFSI Sport S-tronic,CHF 21'500.–,90'200 km,Vorderradantrieb,Limousine,Benzin,190 PS (140 kW),5.1 l/100 km,AUTO SCHMERIKON 200 TOP GARANTIE OCCASIONEN,"St. Gallerstrasse 41, 8716 Schmerikon",2.0 TFSI Sport S-tronic,21500,90200,5.1,190,1,50000 - 990000,150-199,medium,5.00-5.99,20000-29999
1734007363-196,AUDI A4 Avant 35 TDI Sport S-tronic,CHF 18'900.–,105'000 km,Vorderradantrieb,Kombi,Diesel,150 PS (110 kW),4.4 l/100 km,Roj Automobile AG,"Riedmattstrasse 5, 8153 Rümlang Kantons Zürich",Avant 35 TDI Sport S-tronic,18900,105000,4.4,150,1,100000 - 149999,100-149,medium,4.00-4.99,10000-19999
1734007365-197,AUDI A4 2.0 TFSI multitronic,CHF 6'900.–,215'000 km,Vorderradantrieb,Limousine,Benzin,211 PS (155 kW),7.1 l/100 km,Sigis Autocenter AG,"Hauptstrasse 77, 8552 Felben-Wellhausen",2.0 TFSI multitronic,6900,215000,7.1,211,0,200000-249999,200-249,fast,7.00-7.99,0 - 9999
1734007367-198,AUDI A4 Avant 3.2 FSI quattro tiptronic S-Line,CHF 3'890.–,200'000 km,Allrad,Kombi,Benzin,265 PS (195 kW),9.2 l/100 km,Schnell Automobile GmbH,"Auwiesenstrasse 2, 8406 Winterthur",Avant 3.2 FSI quattro tiptronic S-Line,3890,200000,9.2,265,1,150000-199999,250-299,fast,9.00-9.99,0 - 9999
1734007370-199,AUDI A4 1.8 TFSI quattro,CHF 11'900.–,50'000 km,Allrad,Limousine,Benzin,160 PS (118 kW),7.6 l/100 km,Jadranka M.,9200 Gossau,1.8 TFSI quattro,11900,50000,7.6,160,0,0 - 49999,150-199,medium,7.00-7.99,10000-19999
1734007375-201,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 8'450.–,227'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),5.2 l/100 km,Khalil Autohandel,"Althardstrasse 298, 8105 Regensdorf ( Zürich )",Avant 2.0 TDI quattro S-tronic,8450,227000,5.2,190,1,200000-249999,150-199,medium,5.00-5.99,0 - 9999
1734007380-202,AUDI A4 Avant 1.8 Turbo,CHF 1'100.–,394'499 km,Vorderradantrieb,Kombi,Benzin,163 PS (120 kW),8.4 l/100 km,Nicolas,8134 Adliswil,Avant 1.8 Turbo,1100,394499,8.4,163,1,350000-399999,150-199,medium,8.00-8.99,0 - 9999
1734007382-203,AUDI A4 Avant 40 TDI Attraction quattro S-tronic,CHF 31'900.–,51'900 km,Allrad,Kombi,Diesel,204 PS (150 kW),5.7 l/100 km,Auto Hilber KLG,"Bahnhofstrasse 50, 9242 Oberuzwil",Avant 40 TDI Attraction quattro S-tronic,31900,51900,5.7,204,1,50000 - 990000,200-249,fast,5.00-5.99,30000-39999
1734007385-204,AUDI A4 Avant 2.0 TDI quattro S-tronic,CHF 21'890.–,120'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.7 l/100 km,DS Buchser Automobile,"Rösslimattstrasse 46, 5033 Buchs AG",Avant 2.0 TDI quattro S-tronic,21890,120000,4.7,190,1,100000 - 149999,150-199,medium,4.00-4.99,20000-29999
1734007387-205,AUDI A4 Avant 2.0 TFSI Style multitronic,CHF 4'950.–,247'500 km,Vorderradantrieb,Kombi,Benzin,180 PS (132 kW),7.3 l/100 km,Autocenter Baar GmbH,"Oberneuhofstrasse 13, 6340 Baar",Avant 2.0 TFSI Style multitronic,4950,247500,7.3,180,0,200000-249999,150-199,medium,7.00-7.99,0 - 9999
1734007389-206,AUDI A4 Avant 40 TDI advanced Attraction quattro S-tronic,CHF 24'800.–,114'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),6.1 l/100 km,AutoX Garage GmbH,"Maurenstrasse 5, 8575 Bürglen TG",Avant 40 TDI advanced Attraction quattro S-tronic,24800,114000,6.1,190,1,100000 - 149999,150-199,medium,6.00-6.99,20000-29999
1734007391-207,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 12'499.–,250'300 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.7 l/100 km,LRL Cars&Cargo Osmani,"Flurlingerweg 15, 8245 Feuerthalen",Avant 2.0 TDI Sport quattro S-tronic,12499,250300,4.7,190,1,250000-299999,150-199,medium,4.00-4.99,10000-19999
1734007394-208,AUDI A4 Avant 45 TFSI advanced S-tronic quattro,CHF 29'999.–,77'900 km,Allrad,Kombi,Benzin,245 PS (180 kW),7.7 l/100 km,S-L Autotechnik GmbH,"Hauptstr. 96, 5032 Aarau Rohr",Avant 45 TFSI advanced S-tronic quattro,29999,77900,7.7,245,1,50000 - 990000,200-249,fast,7.00-7.99,20000-29999
1734007396-209,AUDI A4 Avant 2.0 TFSI quattro s-tronic,CHF 9'999.–,157'000 km,Allrad,Kombi,Benzin,211 PS (155 kW),7.1 l/100 km,Swiss Autopark GmbH,"Püntstrasse 4, 8543 Gundetswil",Avant 2.0 TFSI quattro s-tronic,9999,157000,7.1,211,0,150000-199999,200-249,fast,7.00-7.99,0 - 9999
1734007401-210,AUDI A4 2.7 TDI multitronic,CHF 5'700.–,280'000 km,Vorderradantrieb,Limousine,Diesel,190 PS (140 kW),6.6 l/100 km,Paul D.,8953 Dietikon,2.7 TDI multitronic,5700,280000,6.6,190,0,250000-299999,150-199,medium,6.00-6.99,0 - 9999
