original_,original_selleraddress_raw,lat,lon,formatted,name,housenumber,street,district,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
127,8951 Fahrweid,47.4083023,8.4134385,"8951 Fahrweid (Weiningen (ZH)), Switzerland",,,,,,,8951,Weiningen (ZH),Bezirk Dietikon,Zurich,Switzerland,ch,1,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128,"Fännstrasse 47, 6403 Küssnacht am Rigi",47.09926095,8.45070317868774,"Fännstrasse 47, 6403 Immensee, Switzerland",,47,Fännstrasse,,,SZ,6403,Immensee,Küssnacht,Schwyz,Switzerland,ch,0.95,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
129,"Wiessenstrasse 24, 5412 Gebenstorf",47.486005,8.242474,"Wiesenstrasse 24, 5412 Gebenstorf, Switzerland",,24,Wiesenstrasse,Gebenstorf,,AG,5412,Gebenstorf,Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
130,"Grossmattstrasse 26, 8964 Rudolfstetten",47.375039,8.385757,"Grossmattstrasse 26, 8964 Rudolfstetten, Switzerland",,26,Grossmattstrasse,Rudolfstetten-Friedlisberg,,AG,8964,Rudolfstetten,Bremgarten,Aargau,Switzerland,ch,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
131,"Güterstr. 11, 8957 Spreitenbach",47.4284484,8.3600129,"Güterstrasse 11, 8957 Spreitenbach, Switzerland",,11,Güterstrasse,,Spreiti West,AG,8957,Spreitenbach,Bezirk Baden,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
132,"Frauenfelderstrasse 13, 8523 Hagenbuch",47.5053194,8.8938136,"Frauenfelderstrasse 13, 8523 Hagenbuch, Switzerland",Frauenfelderstrasse,13,Frauenfelderstrasse,,,,8523,Hagenbuch,Bezirk Winterthur,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133,"Grossrietstrasse 5a, 8606 Nänikon...   (Zürich)",47.3731182,8.6822078,"Grossrietstrasse 5, 8606 Uster, Switzerland",Grossrietstrasse,5,Grossrietstrasse,,,,8606,Uster,Bezirk Uster,Zurich,Switzerland,ch,0.855,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
134,"Sihltalstrasse 111, 8135 Langnau am Albis",47.276936,8.5501657,"Sihltalstrasse 111, 8135 Langnau am Albis, Switzerland",Sihltalstrasse,111,Sihltalstrasse,Unterrengg / Schwyzerhof,,,8135,Langnau am Albis,Bezirk Horgen,Zurich,Switzerland,ch,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
135,"Rösslimattstrasse 46, 5033 Buchs AG",47.38872995,8.08106865808141,"Rösslimattstrasse 46, 5033 Buchs (AG), Switzerland",,46,Rösslimattstrasse,Usserdorf,,AG,5033,Buchs (AG),Bezirk Aarau,Aargau,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
136,"Alte Winterthurerstrasse 11, 8309 Nürensdorf",47.446109,8.644134,"Alte Winterthurerstrasse 11, 8309 Nürensdorf, Switzerland",,11,Alte Winterthurerstrasse,Nürensdorf,,,8309,Nürensdorf,Bulach,Zurich,Switzerland,ch,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
